file_number,annotator_1_seconds,annotator_2_seconds,reviewer_1_seconds,reviewer_2_seconds,final_reviewer_seconds
W2KG228990-I2KG2290900217.jpg,287,339,246,159,67
W4CZ1019-I1KG135020551.jpg,7834,7597,321,413,35
W3CN4061-I3CN64790533.jpg,6696,395,91,192,77
W4CZ307384-I4CZ3083100008.jpg,1453,1103,107,720,37
W1CZ1312-I1CZ18450015.tif,601,7820,152,259,60
W3CN26578-I3CN269580441.jpg,1806,1221,495,1887,250
W21555-26030552.tif,1453,1214,179,4813,25
W8LS31337-I8LS313800011.jpg,591,5307,960,257,918
W3JT13624-I3JT136310009.tif,2648,54512,777,247,401
W3JT13691-I3JT137050006.jpg,2564,794,318,693,83
W4PD973-I4PD10210573.jpg,1303,641,235,1055,35
W8CZ213-I8CZ7630257.jpg,750,2242,380,855,449
W8LS19981-I8LS199830007.jpg,170003,1835,25658,429,711
W00JR625-I2PD199290006.jpg,580,593,376,642,27
W8LS16535-I8LS165690095.jpg,1287,1035,312,518,87
W4CZ58847-I4CZ755130007.jpg,788,380,159,482,155
W8LS16531-I8LS165610006.jpg,818,2028,213,230,29
W4CZ332274-I4CZ3328610006.jpg,38745,1007,88,473,49
W3JT13663-I3JT136720006.jpg,350,539,138,328,174
W3CN15308-I3CN158740546.jpg,517,1670,131,500,99
W8LS32730-I8LS334310006.jpg,1140,3649,131,457,254
W8LS73668-I8LS736700136.jpg,1604,1060,231,956,90
W2PD17420-I4PD3220945.jpg,737,7001,451,595,40
W3CN25687-I4CN118720007.jpg,24215,435,373,344,87
W1KG16650-I2PD151050006.jpg,426,424,201,157,70
W8LS20207-I8LS202090020.jpg,2149,1988,2562,710,502
W1KG22489-I3KG12870006.jpg,448,601,63,230,112
W1ER119-I1ER7930006.jpg,673,22178,373,656,93
W3MS214-I3MS2210006.jpg,1425,1030,385,483,9423
W3CN2873-I3CN28790349.jpg,577,802,139,244,43
W4CZ302381-I4CZ3024930006.jpg,9709,1004,351,346,120
W3CN15343-I3CN159160541.jpg,555,1833,246,261,152
W8CZ228-I8CZ7760006.jpg,2511,5276,66290,11498,6234
W3CN833-I3CN8390006.jpg,594,441,203,218,160
W8LS19670-I8LS196720031.jpg,3530,9264,1924,1822,1153
W3PD983-I1KG813230006.jpg,419,1476,1143,245,68
W8LS19320-I8LS193220006.jpg,1061,1530,218,322,78
W3PD1004-I3PD10650455.jpg,769,1205,713,611,207
W1ER119-I1ER7950247.jpg,838,670,875,1618,150
W4CZ307384-I4CZ3083100521.jpg,1075,1864,198,27669,194
W3JT13695-I3JT137130021.jpg,8196,724,334,206,44
W23157-01860479.tif,423,643,212,301,52
W2PD17477-I4PD5410006.jpg,495,2799,164,475,197
W8LS16259-I8LS162610110.jpg,646,2116,64,157,65
W8LS17063-I8LS170670006.jpg,977,6758,409,371,98567
W4PD294-I4PD3900006.jpg,6163,1037,417,266,201
W4CZ302384-I4CZ3024990006.jpg,1564,10284,170,334,90
W3CN21413-I2KG2202820006.jpg,1344,43023,297,979,168
W3CN25705-I3CN257690616.jpg,668,562,219,504,188
W1KG22687-I1KG230610442.jpg,1560,550,233,125,70
W3CN2507-I3CN25430220.jpg,972,694,144,508,411
W8LS32684-I8LS332710008.jpg,464,764,180,287,23
W1CZ1076-I1CZ13200051.tif,2571,1880,476,713,301
W4PD1207-I4PD12710417.jpg,93731,4539,5263,280,162
W1KG10101-I1KG101100317.tif,1051,709,935,106,46
W23459-19780729.tif,978,30169,309,229,57
W21872-61750449.tif,924,990,227,658,93
W2PD16917-I3PD8370585.jpg,467,907,154,20989,45
W4CZ307771-I4CZ3084060008.jpg,525,1901,259,746,190
W10311-35620006.tif,324,1570,72,132,13
W8LS15734-I8LS157590410.jpg,1150,144,768,525,111
W1CZ1151-I1CZ15660201.tif,968,813,1493,873,594
W3CN2987-I3CN30060006.jpg,6137,1638,14810,837,789
W2PD17382-I1KG812940457.jpg,1309,1739,224,488,253
W1KG12543-I1KG126070467.jpg,239,363,89,49144,59
W4PD920-I4PD15140199.jpg,1569,1519,490,8371,7674
W2PD17514-I4PD23320006.jpg,5409,1092,218,7474,601
W4CZ307425-I4CZ3083930503.jpg,679,1396,294,99,95
W1CZ1239-I1CZ17170006.tif,2183,239,325,163,22
W8LS16527-I8LS165540006.jpg,731,1984,573,583,621
W8CZ227-I8CZ7750861.jpg,1409,721,253,732,240
W1KG22570-I1KG225750521.jpg,1021,1484,1110,2749,97
W2PD16917-I3PD7430903.jpg,1414,25662,372,354,335
W1KG10204-I1KG102360333.jpg,727,566,46,234,144
W1LT2305-I1LT23080006.jpg,1115,246,155,171,44
W8CZ213-I8CZ7630006.jpg,2050,2113,2384,1417,226
W8LS15779-I8LS157880071.jpg,126538,398,89,186,136
W3CN2507-I3CN25250403.jpg,881,4670,748,10972,213
W00KG0638-I1CZ8200378.tif,606,662,8645,48921,220
W8LS20162-I8LS201640038.jpg,75686,819,465,269,121
W1CZ1097-I1CZ15020793.tif,1619,10089,138,288,55
W8LS19652-I8LS196540029.jpg,2549,928,236,946,129
W1KG12666-I1KG127290006.jpg,1212,6727,524,569,213
W2PD17514-I4PD22810267.jpg,1811,625,176,456,330
W1KG587-I1KG5930558.TIF,348,1338,201,535,34
W1LT2676-I1LT26760006.jpg,459,518,227,325,34
W3PD983-I1KG813160143.jpg,21691,1140,1321,923,351
W1KG2834-I1KG29210062.jpg,1134,984,86,212,64
W2DB20791-I1PD348700715.tif,713,27718,239,625,67
W3CN2987-I3CN29960006.jpg,12823,574,133,180,117
W3CN15301-I3CN158450006.jpg,1043,437,101,220,168
W3JT13689-I3JT137010057.jpg,1175,800,106,387,52
W2PD17503-I4PD13350361.jpg,536,323,106,497,28
W24125-I00KG039610087.tif,412,2178,98,345,95
W8LS20165-I8LS201670007.jpg,1916,1768,162,519,10891
W7734-I1KG94440413.jpg,1633,1018,557,61721,250
W4CZ74097-I4CZ741510411.jpg,231,354,91,231,41
W1KG22567-I1KG226670006.jpg,33344,4108,499,189,78
W2PD20866-I4PD50730006.jpg,302,612,173,387,100
W3PD894-I3PD9400901.jpg,1652,96453,563,1521,1434
W3CN2546-I3CN25610006.jpg,594,810,30133,324,363
W3PD894-I3PD9520006.jpg,854,3364,930,6389,451
W4CZ346646-I4CZ3544660603.tif,3449,643,420,446,66
W2PD17423-I4PD3350006.jpg,756,10849,264,464,6226
W3PD1004-I3PD10650006.jpg,1824,1449,240,1084,50873
W3CN26578-I3CN269570275.jpg,5130,1557,540,5805,137
W1CZ1193-I1CZ16570006.tif,1999,2579,232,367,25
W8LS19810-I8LS198120019.jpg,3372,2005,1213,592,210
W8LS16226-I8LS162280015.jpg,912,1325,473,135,36
W4CZ332378-I4CZ3329621108.jpg,62376,19846,32,218,19
W4CZ332278-I4CZ3328700207.jpg,991,3628,293,376,751
W3CN15335-I3CN158950008.jpg,23113,2752,356,26107,347
W3CN27529-I4CN127880607.jpg,2580,6616,69,393,155
W1LT0369-I1LT03690590.jpg,758,651,42,169,28
W3PD1004-I3PD10660006.jpg,17133,792,6346,5510,111
W1LT3414-I1LT34170006.jpg,740,825,224,253,22
W3CN26726-I4CN128000289.tif,16321,1756,377,672,102
W3CN1542-I3CN15440006.jpg,264,383,235,138,31
W1LT0766-I1LT07660541.jpg,1457,3508,1541,278,150
W3CN2929-I3CN29330229.jpg,1183,775,216,241,206
W3CN12075-I3CN121290277.jpg,636,721,179,324,243
W8LS16502-I8LS165180006.jpg,5663,702,1549,19260,413
W8CZ207-I8CZ7570641.jpg,679,524,342,138,132
W8LS17073-I8LS170780007.jpg,1494,1382,197,107,41
W1LT0380-I1LT03800545.jpg,12307,682,222,128,144
W26458-I1CZ22150006.tif,662,11481,1065,499,143
W1KG23030-I1KG231690006.jpg,14712,755,255,55623,93
W8LS20213-I8LS202150023.jpg,4621,765,384,279,35
W8LS19299-I8LS193010006.jpg,1452,727,947,901,231
W2CZ6778-I1KG17800515.tif,360,62271,120,231,235
W1LT0304-I1LT03040006.jpg,2304,2940,195,11734,97
W00KG03837-I00KG038540006.tif,1206,1721,846,430,27
W4CZ74080-I4CZ741110006.jpg,621,11192,146,493,393
W8CZ213-I8CZ7630007.jpg,2156,1524,469,918,228
W2PD17514-I4PD22660409.jpg,26865,10734,29300,1153,67
W4CZ307415-I4CZ3083750006.jpg,5251,6360,324,380,1477
W23655-23860006.tif,1156,297,154,218,15
W1CZ1272-I1CZ17650048.tif,172374,69949,2968,916695,264528
W24031-38360529.tif,114432,21342,563,504,461
W27501-44800310.tif,1403,683,437,244,271
W4CZ307398-I4CZ3083400854.jpg,2350,879,154,516,124
W2PD17477-I4PD5361360.jpg,223,139,99,146,18
W4CZ307397-I4CZ3083380008.jpg,620,948,417,134,32
W3CN25705-I3CN257690007.jpg,9310,1230,315,954,89
W8LS19643-I8LS196450022.jpg,20073,3684,861,1121,115
W3MS155-I1KG228410605.jpg,621,1186,546,132,142
W11848-I1CZ21950251.tif,29904,8321,1527,85566,722
W2CZ8073-I1PD966740043.jpg,294,516,84027,114,220
W4CZ302381-I4CZ3024930037.jpg,949,1286,427,312,84
W1KG584-I1KG13010604.TIF,1123,799,219,289,195
W2CZ7505-I1KG20580063.tif,2714,1917,1000,992,37650
W3PD988-I3PD14130006.jpg,1526,320,169,325,9
W4CZ332269-I4CZ3328511390.jpg,417,477,42,222,95
W8LS75932-I8LS759340297.tif,519,1381,734,373,120
W4CZ354438-I4CZ3550360006.jpg,765,376,7718,142,13091
W4CZ332276-I4CZ3328650006.jpg,505,379,189,529,168
W4PD971-I4PD10090641.jpg,408,1425,180,378,40
W8LS16663-I8LS169730401.jpg,650,453,121,1900,36
W1CZ1172-I1CZ16060006.tif,2077,6037,555,1043,436
W1CZ2154-I1CZ21990006.tif,35530,90498,76765,4312,38677
W1KG3988-I1KG40500006.tif,69530,3404,280,352,310
W8LS29389-I8LS293910006.jpg,363,521,33,88,75
W4CZ307381-I4CZ3083040008.jpg,430,1010,120,165,6735
W8CZ230-I8CZ7780006.jpg,1743,408,209,297,265
W4CZ302356-I4CZ3024410006.jpg,478,399,114,218,33
W4CZ65555-I4CZ655870687.jpg,1308,7966,87,306,58
W8LS19425-I8LS194270006.jpg,11283,1485,233,7756,49
W8LS15869-I8LS158720006.jpg,750,1741,300,386,668
W3CN17924-I3CN179260205.jpg,36480,10656,1101,2280,477
W3CN4211-I3CN84520006.jpg,4721,1192,268,385,101
W8LS29195-I8LS291970006.jpg,466,13541,226,323,34
W1LT0422-I1LT04220006.jpg,770,5526,403,1785,419
W8LS20011-I8LS200130713.jpg,4586,1844,650,1346,1092
W8LS29648-I8LS296500006.jpg,805,37088,13252,260,965
W1CZ1203-I1CZ21250010.tif,3552,765,344,212,382
W2MS2274-I1KG9080006.tif,570,4349,1371,214,48
W1KG9723-I1KG97350301.jpg,1113,676,165,229,137
W4PD975-I4PD11310069.jpg,7540,1579,219,678,126
W3CN2937-I3CN29390006.jpg,1624,4009,267,563,211
W3CN15305-I3CN158640228.jpg,1416,158992,1181,645,836
W14254-I2KG2072670008.jpg,426,1097,197,211,40
W1LT0433-I1LT04330399.jpg,841,1445,624,1446,227
W1KG23033-I1KG231640409.jpg,1195,508,209,319,6671
W3CN7627-I3CN76300006.jpg,62177,1916,460,486,117
W8LS73668-I8LS736700071.jpg,22403,3030,4307,875,590
W1PD181209-I1KG164220445.jpg,729,914,154,439,199
W4CZ355853-I4CZ3559950336.jpg,6988,52661,19260,12509,367
W4PD973-I4PD10330006.jpg,1662,2028,73,89204,321
W1CZ1994-I1CZ20310155.tif,4411,19679,105,173,165
W4CZ302360-I4CZ3024510007.jpg,88,86,48,120,28
W1KG24015-I1KG240710039.jpg,836,1147,285,576,48
W3CN2987-I3CN30080045.jpg,1579,1186,13230,8918,581
W4PD973-I4PD10250006.jpg,813,246,375,149,52
W1LT0806-I1LT08060006.jpg,833,523,106,352,60
W1CZ1197-I1CZ16650006.tif,21107,48400,400,1293,756
W1KG22603-I1KG226790112.jpg,39209,15766,1280,2630,696
W3PD446-I2PD171500767.jpg,18096,771,182,393,176
W3CN26726-I4CN128170841.jpg,1548,2749,332,574,312
W4CZ355766-I4CZ3559250006.jpg,47978,8511,5117,2384,177
W1CZ1993-I1CZ20290057.tif,674,914,235,4837,247
W3CN15346-I3CN159230008.jpg,1481,99998,895,304,46
W27406-I1CZ22210006.tif,3088,2450,242,1109,28012
W8LS16431-I8LS164420111.jpg,1935,770,198,293,47
W2KG2828-I2KG2113070105.jpg,792,471,150,437,131
